"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -1.437073306,       1.115308328,       0.071895693,       4.076185838
          0,           0,           1,      -2.275865374,      0.2025815442,      0.1900723114,       3.233456682
          0,           0,           2,      -2.516587785,     -0.1448801111,      -0.168381022,       2.982290002
          0,           0,           3,      -2.627079931,     -0.3193883238,     -0.1861665539,       2.864025015
          0,           0,           4,       -2.83077625,     -0.4834361942,     -0.4156165447,       2.669026675
          0,           0,           5,      -2.958613229,     -0.6577772662,     -0.5212964149,        2.54222973
          0,           0,           6,      -3.082146556,     -0.7753462285,      -0.662910281,       2.420581528
          0,           0,           7,      -3.193407988,     -0.9058000197,     -0.7793075569,       2.311531378
          0,           0,           8,      -3.321134446,      -1.028538492,     -0.8928514519,        2.18754246
          0,           0,           9,        -3.4335569,      -1.124652402,     -0.9981726616,       2.075658956
          0,           0,          10,      -3.522082881,      -1.232507996,      -1.098905384,       1.982483803
          0,           0,          11,      -3.617454036,      -1.336635569,      -1.201850194,       1.879874064
          0,           0,          12,      -3.714762647,       -1.40949487,      -1.297217642,       1.774839172
          0,           0,          13,      -3.810335884,      -1.487343088,        -1.3909238,        1.67312885
          0,           0,          14,      -3.900544914,      -1.566280726,      -1.479232037,       1.571547511
          0,           0,          15,      -3.989649718,      -1.626519455,      -1.563074799,       1.469080367
          0,           0,          16,      -4.071984531,      -1.679680848,      -1.651517683,       1.371571296
          0,           0,          17,      -4.143782573,      -1.732666937,      -1.744716045,       1.278131155
          0,           0,          18,      -4.205584138,      -1.766714273,      -1.828679742,       1.186262228
          0,           0,          19,      -4.266410759,      -1.806635542,      -1.909901809,       1.088812137
          0,           0,          20,       -4.31818806,      -1.838145273,      -1.985535671,      0.9854682748
          0,           0,          21,      -4.356774489,      -1.867580016,      -2.061004869,      0.8881641117
          0,           0,          22,      -4.384484392,      -1.893321451,      -2.141550488,      0.8006761637
          0,           0,          23,      -4.408679295,      -1.922753838,      -2.223078366,      0.7144595132
          0,           0,          24,      -4.424621796,      -1.941235917,      -2.292645875,      0.6240984898
          0,           0,          25,      -4.440958993,      -1.966402035,      -2.361554933,      0.5315231965
          0,           0,          26,       -4.45299981,      -1.985654058,      -2.429178928,      0.4446971476
          0,           0,          27,      -4.462722666,      -2.006089315,      -2.492101952,      0.3649777281
          0,           0,          28,      -4.470682711,      -2.023793109,      -2.552936131,      0.2932752464
          0,           0,          29,      -4.481509054,      -2.046446194,      -2.609850461,      0.2270007084
          0,           0,          30,      -4.487403695,       -2.06176405,      -2.655472563,      0.1613900938
          0,           0,          31,      -4.496674614,      -2.083248461,      -2.700882883,      0.1032317577
          0,           0,          32,      -4.501998075,      -2.098086646,      -2.737559373,      0.0491249103
          0,           0,          33,      -4.510898549,      -2.117866153,       -2.77309334,    0.005480036294
          0,           0,          34,      -4.516170235,      -2.132062371,      -2.801790289,    -0.03695409568
          0,           0,          35,      -4.525041509,      -2.150849098,      -2.830139031,    -0.07077371941
          0,           0,          36,       -4.53031866,       -2.16360601,      -2.852445026,     -0.1036055973
          0,           0,          37,      -4.539175758,      -2.181194223,      -2.876335945,     -0.1286823648
          0,           0,          38,      -4.544442618,      -2.192702106,      -2.894862052,      -0.155085092
          0,           0,          39,      -4.553193308,      -2.208304151,      -2.915014174,     -0.1744518645
          0,           0,          40,      -4.558386186,      -2.218534672,      -2.931087372,     -0.1970708728
          0,           0,          41,      -4.566973483,      -2.232640362,       -2.94916502,     -0.2125815751
          0,           0,          42,      -4.572016046,      -2.241357032,      -2.963616379,     -0.2320085396
          0,           0,          43,        -4.5804145,       -2.25414174,      -2.980398326,     -0.2446321929
          0,           0,          44,      -4.585308156,      -2.261745133,      -2.993756043,     -0.2622368533
          0,           0,          45,      -4.593517403,      -2.273237756,      -3.009333732,      -0.272839646
          0,           0,          46,      -4.598291654,      -2.280116634,      -3.021718704,     -0.2894027231
          0,           0,          47,      -4.606349228,      -2.290904459,      -3.036217818,     -0.2986259443
          0,           0,          48,       -4.61102573,       -2.29727162,      -3.047719964,     -0.3143415198
          0,           0,          49,      -4.618963019,      -2.307680273,      -3.061289761,     -0.3226091518
          0,           0,          50,      -4.623566832,      -2.313870794,      -3.072079299,     -0.3378283966
          0,           0,          51,      -4.631397081,      -2.323976217,      -3.084947596,      -0.345233622
